Left,Right
Wisconsin Lutheran Warriors,Green Bay Phoenix
Saint Francis U Red Flash,Buffalo Bulls
Rochester (MI) Warriors,Eastern Michigan Eagles
Kentucky Christian Knights,Morehead State Eagles
Johnson & Wales (CO) Wildcats,Air Force Falcons
Cedarville Yellow Jackets,Akron Zips
Mars Hill Lions,Appalachian State Mountaineers
Marist Red Foxes,Army West Point Black Knights
Arlington Baptist Patriots,Abilene Christian Wildcats
Indiana State Sycamores,Ball State Cardinals
Tiffin Dragons,Bowling Green Falcons
Concordia (MI) Cardinals,Central Michigan Chippewas
Presbyterian Blue Hose,Charleston Cougars
Newbury Nighthawks,Dartmouth Big Green
Cleveland State Vikings,Davidson Wildcats
City College of New York Beavers,Fordham Rams
Bob Jones University Bruins,Furman Paladins
Stony Brook Seawolves,George Washington Colonials
Penn Quakers,George Mason Patriots
East Tennessee State Buccaneers,Georgia State Panthers
Central Connecticut State Blue Devils,Hartford Hawks
MIT Engineers,Harvard Crimson
FGCU Eagles,Illinois State Redbirds
Florida A&M Rattlers,Jacksonville Dolphins
Eastern Mennonite Royals,James Madison Dukes
Michigan State Spartans,Kansas Jayhawks
College of New Rochelle Blue Angels,LIU Brooklyn Blackbirds
Rivier Raiders,New Hampshire Wildcats
Davis & Elkins Senators,Radford Highlanders
Bryant Bulldogs,Rhode Island Rams
Brevard College Tornados,South Carolina State Bulldogs
Gardner-Webb Runnin' Bulldogs,VCU Rams
Washington College Shoremen,VMI Keydets
Detroit Titans,Western Michigan Broncos
Mid-Atlantic Christian Mustangs,Hampton Pirates
Colgate Raiders,NJIT Highlanders
Randolph College Wildcats,Longwood Lancers
Wilmington (OH) Quakers,Northern Kentucky Norse
Sacred Heart Pioneers,Holy Cross Crusaders
UNCW Seahawks,Campbell Fighting Camels
Ferrum Panthers,Coastal Carolina Chanticleers
Delaware Fightin' Blue Hens,Maryland Terrapins
Massachusetts-Lowell River Hawks,Massachusetts Minutemen
UNCG Spartans,North Carolina A&T Aggies
East Texas Baptist Tigers,Sam Houston State Bearkats
North Alabama Lions,Samford Bulldogs
Texas Wesleyan Rams,Stephen F. Austin Lumberjacks
UIW Cardinals,Texas Tech Red Raiders
Oakland City Mighty Oaks,Austin Peay Governors
Louisiana-Monroe Warhawks,Jackson State Tigers
Huston-Tillotson Rams,Lamar Cardinals
Westcliff Warriors,Loyola Marymount Lions
Mississippi College Choctaws,Nicholls Colonels
Boston University Terriers,Northeastern Huskies
Rockford University Regents,Northern Illinois Huskies
Bemidji State Beavers,UNI Panthers
Southeast Missouri State Redhawks,Saint Louis Billikens
Oral Roberts Golden Eagles,Missouri State Bears
Texas-Tyler Patriots,UT Arlington Mavericks
Fort Valley State Wildcats,Troy Trojans
Texas A&M-Commerce Lions,UT Rio Grande Valley Vaqueros
Concordia University (IL) Cougars,Valparaiso Crusaders
Pacific Tigers,SIUE Cougars
Northland LumberJacks,North Dakota Fighting Hawks
Cornell Big Red,Binghamton Bearcats
Grand Canyon Antelopes,South Dakota State Jackrabbits
Univ. of the Virgin Islands Buccaneers,Louisiana Ragin' Cajuns
Sewanee Tigers,Lipscomb Bisons
Columbia International Rams,Charleston Southern Buccaneers
Elon Phoenix,Manhattan Jaspers
Lehigh Mountain Hawks,Monmouth Hawks
West Coast Baptist Eagles,Southern Utah Thunderbirds
Maine Black Bears,Denver Pioneers
UMKC Kangaroos,Loyola Chicago Ramblers
Utah State Aggies,Montana State Bobcats
Centenary Gentlemen,Northwestern State Demons
Westminster (UT) Griffins,Utah Valley Wolverines
Spring Hill Badgers,New Orleans Privateers
Cumberland University Phoenix,UT Martin Skyhawks
North Dakota State Bison,New Mexico State Aggies
Duke Blue Devils,Kentucky Wildcats
San Francisco Dons,UC Davis Aggies
Idaho Vandals,UC Irvine Anteaters
Alaska-Anchorage Seawolves,Fresno State Bulldogs
New Mexico Lobos,CSUN Matadors
Multnomah Lions,Portland Pilots
Weber State Wildcats,San Diego Toreros
UAPB Golden Lions,San Diego State Aztecs
UC Santa Barbara Gauchos,Wyoming Cowboys
Ohio State Buckeyes,Cincinnati Bearcats
North Florida Ospreys,Dayton Flyers
Carver College Cougars,Georgia Southern Eagles
Washington Adventist Shock,Howard Bison
Wilberforce Bulldogs,Ohio Bobcats
Bucknell Bison,St. Bonaventure Bonnies
Medgar Evers Cougars,St. Francis Brooklyn Terriers
Lafayette Leopards,Saint Peter's Peacocks
Johnson (FL) Suns,Stetson Hatters
High Point Panthers,William & Mary Tribe
Western Carolina Catamounts,Wright State Raiders
Wisconsin-Parkside Rangers,Bradley Braves
Howard Payne Yellow Jackets,Texas A&M-Corpus Christi Islanders
York (NE) Panthers,South Dakota Coyotes
Oglethorpe Stormy Petrels,Kennesaw State Owls
Colorado Christian Cougars,Colorado State Rams
Menlo Oaks,Cal Poly Mustangs
Cal State-Dominguez Hills Toros,Pepperdine Waves
Life Pacific Warriors,San Jose State Spartans
McNeese State Cowboys,Saint Mary's Gaels
SUNY-Canton Roos,Cornell Big Red
Hiwassee College Tigers,East Tennessee State Buccaneers
Siena Saints,George Washington Colonials
Maine-Fort Kent Bengals,Liberty Flames
Nicholls Colonels,Louisville Cardinals
St. Andrews Presbyterian Knights,UNC Asheville Bulldogs
Earlham Quakers,Purdue Fort Wayne Mastodons
Mid-Atlantic Christian Mustangs,Norfolk State Spartans
Southeastern University Fire,FGCU Eagles
Southeastern Oklahoma State Savage Storm,Little Rock Trojans
Southwestern Assemblies of God Lions,Stephen F. Austin Lumberjacks
Buena Vista Beavers,Drake Bulldogs
Southwestern University Pirates,Sam Houston State Bearkats
Hendrix College Warriors,Central Arkansas Bears
Alabama State Hornets,South Dakota State Jackrabbits
Puget Sound Loggers,Seattle Redhawks
Drexel Dragons,Eastern Michigan Eagles
Buena Vista Beavers,Omaha Mavericks
Antelope Valley Pioneers,Bakersfield Roadrunners
Indiana State Sycamores,Green Bay Phoenix
Vermont Catamounts,Boston University Terriers
Chicago State Cougars,Central Michigan Chippewas
North Carolina Central Eagles,Clemson Tigers
Monmouth Hawks,Colgate Raiders
Dartmouth Big Green,Davidson Wildcats
American University Eagles,George Mason Patriots
Northeastern Huskies,Harvard Crimson
New Hampshire Wildcats,Massachusetts Minutemen
Piedmont Lions,Mercer Bears
Lehigh Mountain Hawks,Miami (FL) Hurricanes
Northern Kentucky Norse,Northern Illinois Huskies
Toledo Rockets,Oakland Golden Grizzlies
DeSales Bulldogs,Princeton Tigers
Longwood Lancers,Richmond Spiders
Morgan State Bears,Saint Francis U Red Flash
Arkansas Razorbacks,Texas Longhorns
Hampton Pirates,VCU Rams
Coastal Carolina Chanticleers,Campbell Fighting Camels
Lamar Cardinals,Georgia Tech Yellow Jackets
Brown Bears,LIU Brooklyn Blackbirds
Austin Peay Governors,Mississippi State Bulldogs
Jacksonville State Gamecocks,Samford Bulldogs
Mount St. Mary's Mountaineers,Hofstra Pride
Blue Mountain College Toppers,Alcorn State Braves
Furman Paladins,Loyola Chicago Ramblers
Southwestern Moundbuilders,Oral Roberts Golden Eagles
William Carey Crusaders,Southeastern Louisiana Lions
Robert Morris Colonials,Missouri State Bears
Air Force Falcons,Texas State Bobcats
Our Lady of the Lake Saints,Texas A&M-Corpus Christi Islanders
NJIT Highlanders,Binghamton Bearcats
